Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,13,1021,702,502,38,63,5,256,846,2,6
D:\progs\PageReplacementAlgo,13,1021,702,502,38,63,5,256,846,2,6
D:\progs\PageReplacementAlgo\PageReplacementAlgo,13,1021,702,502,38,63,5,256,846,2,6
D:\progs\PageReplacementAlgo\PageReplacementAlgo\Properties,3,128,61,26,4,20,2,47,247,0,2
D:\progs\PageReplacementAlgo\PageReplacementAlgo\obj,2,10,6,4,0,2,0,2,4,2,4
D:\progs\PageReplacementAlgo\PageReplacementAlgo\obj\Debug,2,10,6,4,0,2,0,2,4,2,4
